model,fold,task,length,lbin,genus,new,matched
baseline_esm2,2,propep,24,20-24,Camponotus,False,1
baseline_esm2,2,pep,11,10-14,Camponotus,False,1
baseline_esm2,2,pep,12,10-14,Camponotus,False,0
baseline_esm2,2,pep,31,30-34,Camponotus,False,1
baseline_esm2,2,propep,40,40-44,Camponotus,False,1
baseline_esm2,2,propep,5,5-9,Camponotus,False,1
baseline_esm2,2,pep,16,15-19,Conus,False,1
baseline_esm2,2,propep,25,25-29,Conus,False,0
baseline_esm2,2,pep,16,15-19,Conus,False,1
baseline_esm2,2,propep,22,20-24,Conus,False,1
baseline_esm2,2,pep,13,10-14,Mesobuthus,False,1
baseline_esm2,2,propep,31,30-34,Mesobuthus,False,1
baseline_esm2,2,propep,5,5-9,Loxosceles,False,1
baseline_esm2,2,propep,18,15-19,Protobothrops,False,0
baseline_esm2,2,propep,18,15-19,Protobothrops,False,0
baseline_esm2,2,pep,10,10-14,Hottentotta,True,1
baseline_esm2,2,propep,45,45-50,Pocillopora,False,1
baseline_esm2,2,propep,24,20-24,Gallus,True,0
baseline_esm2,2,propep,11,10-14,Gallus,True,1
baseline_esm2,2,propep,24,20-24,Arabidopsis,False,1
baseline_esm2,2,propep,27,25-29,Arabidopsis,False,1
baseline_esm2,2,propep,8,5-9,Crotalus,False,0
baseline_esm2,2,propep,32,30-34,Hypocrea,False,1
baseline_esm2,2,propep,14,10-14,Hypocrea,False,1
baseline_esm2,2,pep,13,10-14,Pandinus,False,1
baseline_esm2,2,propep,29,25-29,Pandinus,False,1
baseline_esm2,2,pep,20,20-24,Rhodococcus,False,1
baseline_esm2,2,propep,26,25-29,Rhodococcus,False,1
baseline_esm2,2,pep,13,10-14,Vaejovis,False,1
baseline_esm2,2,propep,29,25-29,Vaejovis,False,1
baseline_esm2,2,pep,13,10-14,Vaejovis,False,1
baseline_esm2,2,propep,30,30-34,Vaejovis,False,1
baseline_esm2,2,pep,13,10-14,Mesomexovis,False,1
baseline_esm2,2,propep,29,25-29,Mesomexovis,False,1
baseline_esm2,2,pep,13,10-14,Mesomexovis,False,1
baseline_esm2,2,propep,29,25-29,Mesomexovis,False,1
baseline_esm2,2,propep,39,35-39,Auricularia,False,0
baseline_esm2,2,propep,39,35-39,Exidia,False,0
baseline_esm2,2,propep,42,40-44,Mycena,False,0
baseline_esm2,2,propep,22,20-24,Scolopendra,False,0
baseline_esm2,2,propep,34,30-34,Cryptococcus,True,0
baseline_esm2,2,propep,24,20-24,Marssonina,True,1
baseline_esm2,2,pep,15,15-19,Conus,True,0
baseline_esm2,2,pep,16,15-19,Loxosceles,False,0
baseline_esm2,2,pep,13,10-14,Urodacus,False,1
baseline_esm2,2,propep,29,25-29,Urodacus,False,1
baseline_esm2,2,pep,14,10-14,Urodacus,False,1
baseline_esm2,2,propep,39,35-39,Urodacus,False,1
baseline_esm2,2,propep,28,25-29,Drosophila,False,0
baseline_esm2,2,propep,13,10-14,Drosophila,False,0
baseline_esm2,2,propep,33,30-34,Drosophila,False,0
baseline_esm2,2,propep,13,10-14,Drosophila,False,0
baseline_esm2,2,propep,24,20-24,Mus,False,1
baseline_esm2,2,propep,5,5-9,Mus,False,0
baseline_esm2,2,propep,13,10-14,Mus,False,1
baseline_esm2,2,propep,29,25-29,Candida,False,1
baseline_esm2,2,propep,21,20-24,Saccharomyces,False,1
baseline_esm2,2,propep,25,25-29,Schizosaccharomyces,False,1
baseline_esm2,2,pep,11,10-14,Homo,False,1
baseline_esm2,2,pep,18,15-19,Homo,False,0
baseline_esm2,2,propep,45,45-50,Homo,False,0
baseline_esm2,2,propep,14,10-14,Homo,False,0
baseline_esm2,2,pep,31,30-34,Styela,False,0
baseline_esm2,2,propep,26,25-29,Styela,False,0
baseline_esm2,2,pep,32,30-34,Styela,False,0
baseline_esm2,2,propep,26,25-29,Styela,False,0
baseline_esm2,2,pep,32,30-34,Styela,False,0
baseline_esm2,2,propep,26,25-29,Styela,False,0
baseline_esm2,2,pep,12,10-14,Zea,False,1
baseline_esm2,2,pep,12,10-14,Zea,False,1
baseline_esm2,2,pep,12,10-14,Zea,True,1
baseline_esm2,2,pep,12,10-14,Zea,False,1
baseline_esm2,2,pep,12,10-14,Zea,False,1
baseline_esm2,2,pep,5,5-9,Bacillus,True,1
baseline_esm2,2,propep,34,30-34,Bacillus,True,0
baseline_esm2,2,pep,5,5-9,Bacillus,True,0
baseline_esm2,2,propep,30,30-34,Bacillus,True,0
baseline_esm2,2,propep,9,5-9,Bacillus,True,0
baseline_esm2,2,pep,5,5-9,Bacillus,True,0
baseline_esm2,2,propep,33,30-34,Bacillus,True,0
baseline_esm2,2,propep,26,25-29,Porphyromonas,False,1
baseline_esm2,2,pep,11,10-14,Rattus,False,0
baseline_esm2,2,propep,5,5-9,Rattus,False,0
baseline_esm2,2,propep,14,10-14,Rattus,False,1
baseline_esm2,2,pep,15,15-19,Caenorhabditis,False,1
baseline_esm2,2,pep,10,10-14,Caenorhabditis,False,1
baseline_esm2,2,pep,10,10-14,Caenorhabditis,False,0
baseline_esm2,2,pep,10,10-14,Caenorhabditis,False,1
baseline_esm2,2,pep,10,10-14,Caenorhabditis,False,0
baseline_esm2,2,pep,10,10-14,Caenorhabditis,False,1
baseline_esm2,2,pep,10,10-14,Caenorhabditis,False,1
baseline_esm2,2,pep,9,5-9,Caenorhabditis,False,1
baseline_esm2,2,pep,9,5-9,Caenorhabditis,False,1
baseline_esm2,2,propep,26,25-29,Caenorhabditis,False,0
baseline_esm2,2,propep,19,15-19,Caenorhabditis,False,1
baseline_esm2,2,propep,24,20-24,Arabidopsis,False,1
baseline_esm2,2,propep,25,25-29,Arabidopsis,False,1
baseline_esm2,2,propep,25,25-29,Arabidopsis,False,1
baseline_esm2,2,propep,18,15-19,Protobothrops,False,0
baseline_esm2,2,propep,12,10-14,Schizosaccharomyces,False,1
baseline_esm2,2,propep,28,25-29,Arabidopsis,False,1
baseline_esm2,2,propep,28,25-29,Arabidopsis,False,1
baseline_esm2,2,propep,16,15-19,Gloydius,False,0
baseline_esm2,2,propep,25,25-29,Grifola,False,0
baseline_esm2,2,pep,10,10-14,Conus,False,0
baseline_esm2,2,propep,22,20-24,Conus,False,0
baseline_esm2,2,propep,8,5-9,Guillardia,False,0
baseline_esm2,2,propep,24,20-24,Arabidopsis,False,1
baseline_esm2,2,propep,36,35-39,Brassica,False,0
baseline_esm2,2,propep,20,20-24,Mus,False,1
baseline_esm2,2,propep,48,45-50,Mus,False,0
baseline_esm2,2,propep,12,10-14,Mus,False,0
baseline_esm2,2,propep,47,45-50,Homo,False,0
baseline_esm2,2,propep,29,25-29,Homo,False,1
baseline_esm2,2,propep,14,10-14,Lumbricus,False,0
baseline_esm2,2,propep,7,5-9,Skeletonema,False,0
baseline_esm2,2,propep,18,15-19,Homo,False,1
baseline_esm2,2,propep,35,35-39,Homo,False,0
baseline_esm2,2,propep,18,15-19,Bos,False,1
baseline_esm2,2,propep,35,35-39,Bos,False,0
baseline_esm2,2,propep,9,5-9,Homo,False,0
baseline_esm2,2,pep,14,10-14,Bos,True,0
baseline_esm2,2,propep,24,20-24,Bos,True,1
baseline_esm2,2,propep,10,10-14,Homo,False,1
baseline_esm2,2,pep,11,10-14,Ananas,False,0
baseline_esm2,2,pep,41,40-44,Ananas,False,1
baseline_esm2,2,pep,11,10-14,Ananas,False,0
baseline_esm2,2,pep,41,40-44,Ananas,False,1
baseline_esm2,2,pep,11,10-14,Ananas,False,0
baseline_esm2,2,pep,41,40-44,Ananas,False,1
baseline_esm2,2,propep,5,5-9,Ananas,False,0
baseline_esm2,2,propep,19,15-19,Ananas,False,0
baseline_esm2,2,propep,5,5-9,Ananas,False,0
baseline_esm2,2,propep,19,15-19,Ananas,False,0
baseline_esm2,2,propep,5,5-9,Ananas,False,0
baseline_esm2,2,propep,18,15-19,Ananas,False,1
baseline_esm2,2,pep,6,5-9,Bos,False,1
baseline_esm2,2,pep,13,10-14,Bos,False,1
baseline_esm2,2,pep,5,5-9,Bos,False,1
baseline_esm2,2,pep,28,25-29,Bos,False,0
baseline_esm2,2,pep,34,30-34,Homo,False,0
baseline_esm2,2,pep,34,30-34,Rattus,False,0
baseline_esm2,2,pep,10,10-14,Xenopus,False,1
baseline_esm2,2,pep,10,10-14,Xenopus,False,1
baseline_esm2,2,pep,10,10-14,Xenopus,False,1
baseline_esm2,2,pep,10,10-14,Xenopus,False,1
baseline_esm2,2,propep,46,45-50,Xenopus,False,0
baseline_esm2,2,propep,5,5-9,Xenopus,False,1
baseline_esm2,2,pep,9,5-9,Homo,False,1
baseline_esm2,2,pep,26,25-29,Apis,False,0
baseline_esm2,2,propep,22,20-24,Apis,False,1
baseline_esm2,2,propep,5,5-9,Homo,False,0
baseline_esm2,2,propep,15,15-19,Homo,False,0
baseline_esm2,2,pep,6,5-9,Petromyzon,True,0
