model,fold,task,length,lbin,genus,new,matched
baseline_esm2,2,pep,14,10-14,Manica,False,1
baseline_esm2,2,propep,8,5-9,Manica,False,0
baseline_esm2,2,pep,29,25-29,Manica,False,1
baseline_esm2,2,propep,26,25-29,Manica,False,1
baseline_esm2,2,pep,20,20-24,Manica,True,1
baseline_esm2,2,pep,26,25-29,Manica,False,0
baseline_esm2,2,propep,10,10-14,Manica,False,0
baseline_esm2,2,pep,29,25-29,Manica,False,1
baseline_esm2,2,propep,26,25-29,Manica,False,1
baseline_esm2,2,pep,28,25-29,Manica,False,1
baseline_esm2,2,propep,26,25-29,Manica,False,1
baseline_esm2,2,pep,21,20-24,Tetramorium,True,0
baseline_esm2,2,propep,10,10-14,Tetramorium,True,1
baseline_esm2,2,pep,23,20-24,Tetramorium,True,0
baseline_esm2,2,propep,26,25-29,Tetramorium,True,0
baseline_esm2,2,pep,10,10-14,Tetramorium,True,0
baseline_esm2,2,propep,26,25-29,Tetramorium,True,0
baseline_esm2,2,pep,26,25-29,Rhytidoponera,True,1
baseline_esm2,2,propep,26,25-29,Rhytidoponera,True,0
baseline_esm2,2,pep,27,25-29,Rhytidoponera,True,0
baseline_esm2,2,propep,28,25-29,Rhytidoponera,True,0
baseline_esm2,2,propep,45,45-50,Dendrocnide,True,1
baseline_esm2,2,pep,17,15-19,Conus,False,1
baseline_esm2,2,propep,27,25-29,Conus,False,1
baseline_esm2,2,pep,17,15-19,Conus,False,1
baseline_esm2,2,propep,25,25-29,Conus,False,1
baseline_esm2,2,propep,7,5-9,Phaeodactylum,False,0
baseline_esm2,2,propep,7,5-9,Thalassiosira,False,0
baseline_esm2,2,propep,24,20-24,Gossypium,False,0
baseline_esm2,2,propep,24,20-24,Sorghum,False,0
baseline_esm2,2,propep,25,25-29,Agrostis,False,0
baseline_esm2,2,propep,46,45-50,Paenarthrobacter,False,1
baseline_esm2,2,propep,48,45-50,Nocardioides,False,1
baseline_esm2,2,pep,19,15-19,Conus,False,1
baseline_esm2,2,propep,28,25-29,Conus,False,1
baseline_esm2,2,pep,20,20-24,Conus,False,1
baseline_esm2,2,propep,27,25-29,Conus,False,1
baseline_esm2,2,pep,23,20-24,Conus,False,1
baseline_esm2,2,propep,20,20-24,Conus,False,1
baseline_esm2,2,pep,23,20-24,Conus,False,1
baseline_esm2,2,propep,20,20-24,Conus,False,1
baseline_esm2,2,pep,21,20-24,Conus,True,0
